name,product_type,availability,price,original_price,discount_amount,discount_percentage,has_discount,buen_fin_discount,black_friday_discount,image,reviews_count,rating
SAMSUNG Celular Galaxy S23 128GB Rosa Claro,smartphone,Available,10999.0,15999.0,5000.0,31.25,Yes,False,False,https://m.media-amazon.com/images/I/61gpxn8wtoL._AC_UL320_.jpg,86.0,4.7
SAMSUNG Galaxy S23 Fe Dual 256 GB 8 Ram Graphite,smartphone,Available,9799.0,9799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61Oe73AkimL._AC_UL320_.jpg,15.0,3.9
Samsung Galaxy S23 8GB_256GB Lavanda Desbloqueado (Reacondicionado),smartphone,Available,10499.0,10499.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/619Zn+R0WbL._AC_UL320_.jpg,320.0,4.1
"Samsung Galaxy S23 5G (128 GB, 8 GB) 6.1"" AMOLED 2X, cámara 50MP, Global Volte, desbloqueado para todas las compañías, Negro Phantom (Reacondicionado)",smartphone,Available,9799.0,9799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51rn1JNGsvL._AC_UL320_.jpg,152.0,4.1
"SAMSUNG Galaxy S24 +, Gris Marmol, 12GB_512GB",smartphone,Available,14999.0,23999.0,9000.0,37.5,Yes,False,False,https://m.media-amazon.com/images/I/31BH6QLbk9L._AC_UL320_.jpg,39.0,4.0
"Samsung Galaxy S23 FE desbloqueado de fábrica 128 GB, menta (reacondicionado)",smartphone,Available,9657.42,9657.42,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61bU0BVICjL._AC_UL320_.jpg,22.0,4.1
SAMSUNG Galaxy S23 Plus 8gb RAM 256gb ROM Crema 5G | Desbloqueado | 6.6” AMOLED | Dual Sim Cámara Trasera 50 MP + 10 MP + 12 MP Cámara Frontal 12 MP (Reacondicionado),smartphone,Available,11799.0,11799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61rFuAc4fkL._AC_UL320_.jpg,5.0,5.0
"Samsung Galaxy S23 5G S9110 Dual 128GB 8GB RAM, cámara de 50 MP, Color Crema, Desbloqueado de fábrica, versión Internacional",smartphone,Out of Stock,,0.0,9000.0,37.5,Yes,False,False,https://m.media-amazon.com/images/I/51Pc+1ivsCL._AC_UL320_.jpg,78.0,4.7
"SAMSUNG Galaxy S22 Ultra 5G Desbloqueado, 128GB, Negro (Reacondicionado)",smartphone,Available,9386.49,11273.17,1886.68,16.74,Yes,False,False,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_UL320_.jpg,1259.0,3.7
SAMSUNG Galaxy S23 FE 128GB Grafito (Reacondicionado),smartphone,Available,9087.0,9087.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71iQPXoiWYL._AC_UL320_.jpg,127.0,4.3
SAMSUNG- Galaxy S23 Ultra 5G Desbloqueado de fábrica de 256 GB - Verde (renovado),smartphone,Available,16880.18,16880.18,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51mXHdm9jHL._AC_UL320_.jpg,143.0,3.9
