name,product_type,availability,price,original_price,discount_amount,discount_percentage,has_discount,buen_fin_discount,black_friday_discount,image,reviews_count,rating
"SAMSUNG Galaxy S24 FE 5G Menta 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,11999.0,15499.0,3500.0,22.58,Yes,False,False,https://m.media-amazon.com/images/I/511NKNAepvL._AC_UL320_.jpg,0.0,
"SAMSUNG Galaxy S24 +, Gris Marmol, 12GB_512GB",smartphone,Available,14999.0,23999.0,9000.0,37.5,Yes,False,False,https://m.media-amazon.com/images/I/31BH6QLbk9L._AC_UL320_.jpg,40.0,4.1
SAMSUNG Celular Galaxy S23 128GB Rosa Claro,smartphone,Available,10959.0,15999.0,5040.0,31.5,Yes,False,False,https://m.media-amazon.com/images/I/61gpxn8wtoL._AC_UL320_.jpg,86.0,4.7
SAMSUNG Galaxy S23 Fe Dual 256 GB 8 Ram Graphite,smartphone,Available,9799.0,9799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61Oe73AkimL._AC_UL320_.jpg,15.0,3.9
Samsung Galaxy S23 8GB_256GB Lavanda Desbloqueado (Reacondicionado),smartphone,Available,10499.0,10499.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/619Zn+R0WbL._AC_UL320_.jpg,320.0,4.1
"SAMSUNG Galaxy S24 +, Gris Marmol, 12GB_512GB",smartphone,Available,14999.0,23999.0,9000.0,37.5,Yes,False,False,https://m.media-amazon.com/images/I/31BH6QLbk9L._AC_UL320_.jpg,40.0,4.1
"Samsung Galaxy S23 5G (128 GB, 8 GB) 6.1"" AMOLED 2X, cámara 50MP, Global Volte, desbloqueado para todas las compañías, Negro Phantom (Reacondicionado)",smartphone,Available,9799.0,9799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51rn1JNGsvL._AC_UL320_.jpg,152.0,4.1
"SAMSUNG Galaxy S24 FE 5G Grafito 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,11829.09,15499.0,3669.91,23.68,Yes,False,False,https://m.media-amazon.com/images/I/51+38FqDMGL._AC_UL320_.jpg,9.0,5.0
"Samsung Galaxy S23 5G S9110 Dual 128GB 8GB RAM, cámara de 50 MP, Color Crema, Desbloqueado de fábrica, versión Internacional",smartphone,Out of Stock,,0.0,3669.91,23.68,Yes,False,False,https://m.media-amazon.com/images/I/51Pc+1ivsCL._AC_UL320_.jpg,78.0,4.7
"Samsung Galaxy S23 FE desbloqueado de fábrica 128 GB, menta (reacondicionado)",smartphone,Available,9657.42,9657.42,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61bU0BVICjL._AC_UL320_.jpg,22.0,4.1
SAMSUNG Galaxy S23 Plus 8gb RAM 256gb ROM Crema 5G | Desbloqueado | 6.6” AMOLED | Dual Sim Cámara Trasera 50 MP + 10 MP + 12 MP Cámara Frontal 12 MP (Reacondicionado),smartphone,Available,11799.0,11799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61rFuAc4fkL._AC_UL320_.jpg,5.0,5.0
"JETech 5 en 1 Funda Mate para Samsung Galaxy S23 6.1 Pulgadas con 2 Protector Pantalla y 2 Protector Lente Cámara, Carcasa Trasera Protectora Translúcida, Mica Cristal Vidrio Templado (Lila)",case,Available,309.0,309.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61u0Mc+qTdL._AC_UL320_.jpg,3522.0,4.5
"SAMSUNG Galaxy S22 Ultra 5G Desbloqueado, 128GB, Negro (Reacondicionado)",smartphone,Available,10416.68,11271.02,854.34,7.58,Yes,False,False,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_UL320_.jpg,1259.0,3.7
SAMSUNG Galaxy S23 Ultra 5G Desbloqueado de fábrica 512GB - Ultra Lime (reacondicionado),smartphone,Out of Stock,,0.0,854.34,7.58,Yes,False,False,https://m.media-amazon.com/images/I/41lj9KPfHXL._AC_UL320_.jpg,102.0,4.4
SAMSUNG Galaxy S23 FE 128GB Grafito (Reacondicionado),smartphone,Available,9087.0,9087.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71iQPXoiWYL._AC_UL320_.jpg,127.0,4.3
"Samsung Celular Galaxy S23 FE Menta 8GB RAM 256GB, AI, Internacional sin Garantia",smartphone,Out of Stock,,0.0,854.34,7.58,Yes,False,False,https://m.media-amazon.com/images/I/61ioq65ekyL._AC_UL320_.jpg,53.0,4.3
"SwanScout Estación de Carga para Samsung S24/Watch Ultra, Cargador Inalámbrico 3 en 1 para Galaxy S24 Ultra/S23/S22/Note 20/Z Flip/Z Fold, Galaxy Watch 7/6/5/4/FE, Galaxy Buds (Sin Adaptador)",smartphone,Available,645.99,999.0,353.01,35.34,Yes,False,False,https://m.media-amazon.com/images/I/715-3UPioSL._AC_UL320_.jpg,1141.0,4.3
SAMSUNG Galaxy S23 Plus 8gb RAM 256gb ROM Lavanda 5G | Desbloqueado | 6.6” AMOLED | Huella Digital | Dual Sim Cámara Trasera 50 MP + 10 MP + 12 MP Cámara Frontal 12 MP (Reacondicionado),smartphone,Available,12499.0,12499.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61BOF86+PRL._AC_UL320_.jpg,0.0,
SAMSUNG- Galaxy S23 Ultra 5G Desbloqueado de fábrica de 256 GB - Verde (renovado),smartphone,Available,16880.18,16880.18,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51mXHdm9jHL._AC_UL320_.jpg,143.0,3.9
"Samsung Celular Galaxy M15 5G Azul Claro 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,2475.23,3999.0,1523.77,38.1,Yes,False,False,https://m.media-amazon.com/images/I/61dqezq8ZVL._AC_UL320_.jpg,317.0,4.6
"SAMSUNG Celular Galaxy Z Fold 6 Silver Shadow 12GB RAM 512GB, AI, Nacional con Garantía",smartphone,Available,32999.0,45999.0,13000.0,28.26,Yes,False,False,https://m.media-amazon.com/images/I/51yxZN6N5vL._AC_UL320_.jpg,1.0,5.0
"SAMSUNG Celular Galaxy M35 5G Azul obscuro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,4199.0,5499.0,1300.0,23.64,Yes,False,False,https://m.media-amazon.com/images/I/613aL6vxQGL._AC_UL320_.jpg,71.0,4.5
"Samsung Celular Galaxy A55 5G Violeta 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,5932.94,7999.0,2066.06,25.83,Yes,False,False,https://m.media-amazon.com/images/I/61r0a2fq+HL._AC_UL320_.jpg,99.0,4.6
"RUBOQE Cargador para Samsung 45W Tipo C, Cargador Carga Rapida con 1M Cable, Cargador rápido USB C para Samsung Galaxy S23 Ultra/S23/S23+/S22/S22 Ultra/S22+/Note10/Note 20/S20/S21/S10",smartphone,Available,258.99,399.0,140.01,35.09,Yes,False,False,https://m.media-amazon.com/images/I/51DZ6gjE9IL._AC_UL320_.jpg,361.0,4.6
"Cargador Inalámbrico 3 en 1 para Samsung/iPhone, Cargador para Samsung S24/S23 Ultra/S22 Ultra/S23/S23+/Z Fold 4/Flip 4/S22, Cargador para Galaxy Watch 6/5/5 Pro/4, Estación de Carga Buds (Negro)",smartphone,Available,719.99,719.99,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61APoCSL6FL._AC_UL320_.jpg,101.0,4.2
"SAMSUNG Galaxy S23 5G SM-S911B/DS 128GB 8GB RAM, cámara de 50 MP, desbloqueado de fábrica - Phantom Black",smartphone,Available,15500.0,15500.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61yUiD1CVML._AC_UL320_.jpg,97.0,4.4
"Cargador inalámbrico para Samsung, estación de Carga inalámbrica 3 en 1 para Samsung Galaxy S24 Ultra/S23/S22/Z Flip 6/Z Fold 6, Cargador para Samsung Galaxy Watch 5/4/3, Galaxy Buds 2/Pro/+",smartphone,Available,759.99,759.99,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61VSKA16Y9L._AC_UL320_.jpg,5619.0,4.4
Samsung Galaxy Tab A9 4GB_64GB Color Gris,tablet,Available,2850.0,2850.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/5169txVgFWL._AC_UL320_.jpg,662.0,4.6
Samsung Galaxy S23+ Plus (5G) 512GB SIM única desbloqueada - Phantom Black (renovado),smartphone,Out of Stock,,0.0,140.01,35.09,Yes,False,False,https://m.media-amazon.com/images/I/510Zms0LUQL._AC_UL320_.jpg,32.0,4.4
"Samsung Galaxy S23 Ultra - Lápiz capacitivo de repuesto para bolígrafo S, color negro",smartphone,Available,797.72,797.72,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/417xPSFsEyL._AC_UL320_.jpg,323.0,4.6
"Samsung Galaxy S21 5G desbloqueado de fábrica Versión US 5G 8K Video, 64MP High Res128GB, Phantom Violet (SM-G991UZVAXAA) (Reacondicionado)",smartphone,Available,4458.23,4458.23,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61hoN03CsIL._AC_UL320_.jpg,1736.0,3.9
"SAMSUNG Galaxy S23+ 5G S9160 Dual 256GB 8GB RAM, cámara de 50 MP, Desbloqueado de fábrica - Phantom Black (Reacondicionado)",smartphone,Available,11799.0,11799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/518c3bmlouL._AC_UL320_.jpg,4.0,4.7
"Samsung Galaxy S21 5G, versión estadounidense, 128 GB, Phantom Gray - desbloqueado (Reacondicionado)",smartphone,Available,5499.0,5499.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61XyNdmvr6L._AC_UL320_.jpg,6225.0,4.0
"SAMSUNG Galaxy S22 Ultra Smartphone, 512GB, 8K Camera & Video, Brightest Display, S Pen, Phantom Black (Reacondicionado)",smartphone,Available,11450.68,11450.68,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_UL320_.jpg,485.0,4.0
"Tongate Funda para Samsung Galaxy S23 Ultra 5G, [Cubierta Deslizante incorporada para la cámara y Protector de Pantalla] [2 Marcos Frontales] Resistente a Golpes de Grado Militar con Soporte, Negro",case,Available,479.2,599.0,119.8,20.0,Yes,False,False,https://m.media-amazon.com/images/I/717KrxMWUNL._AC_UL320_.jpg,5540.0,4.3
"Samsung Galaxy S22 (128 GB, 8 GB), pantalla de 6.2 pulgadas AMOLED 2X, cámara 4K de 50 MP (reacondicionado)",smartphone,Available,6458.58,7045.49,586.91,8.33,Yes,False,False,https://m.media-amazon.com/images/I/71c5rhsUkxL._AC_UL320_.jpg,392.0,4.0
"BVILY Cargador Inalámbrico 3 en 1, Estación de Carga Inalámbrica Rapida Compatible con Galaxy S23 Ultra/S22 Ultra/S21/S20/S21 FE/Z Flip 4, Galaxy Watch 5/4/3/Active 2, Galaxy Buds 2/Buds+/Live",smartphone,Available,799.0,799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71mSFp2XhTL._AC_UL320_.jpg,26.0,4.5
"JETech Funda Magnética para Samsung Galaxy S23 Ultra 5G 6.8 Pulgadas, Compatible con MagSafe, Carcasa Antigolpes Translúcida Mate Respaldo (Negro)",case,Available,278.1,309.0,30.9,10.0,Yes,False,False,https://m.media-amazon.com/images/I/61VnRAyYDGL._AC_UL320_.jpg,1524.0,4.6
"XLDHYLL Cargador Tipo C, 2PCS Cargador USB C de 25W Carga Rapida con Cable Tipo C de 2M para Samsung Galaxy S23 Ultra/S23+/S23/S22 Ultra/ S22+/S22, S21 Ultra/S21/S21 Plus/S20/Note 10 +/Note",smartphone,Available,218.99,218.99,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61Di67awGhL._AC_UL320_.jpg,11.0,3.7
"JETech Protector de Pantalla para Samsung Galaxy S23 5G 6.1 Pulgadas, Mica Cristal Vidrio Templado, Compatible Huellas Dactilares ID, HD Transparente, 3 Unidades",smartphone,Available,169.14,199.0,29.86,15.01,Yes,False,False,https://m.media-amazon.com/images/I/61xlg9OeaXL._AC_UL320_.jpg,6894.0,4.5
"QIKKOP 2 Cargador para Samsung 45W Tipo C, Cargador Carga Rapida con 1M Cable, Cargador USB C para Samsung Galaxy S24 Ultra/S24/S24+/S23 Ultra/S23/S23+/S22/S22 Ultra/S22+/Note10/Note 20/S20/S21",smartphone,Available,297.09,399.0,101.91,25.54,Yes,False,False,https://m.media-amazon.com/images/I/61JjJBI5JUL._AC_UL320_.jpg,73.0,4.5
"amFilm (2+2 Piezas) OneTouch Compatible con Samsung Galaxy S23 Protector de Pantalla, Mica Cristal Vidrio Templado, y Protectores de Lente de Cámara, Dureza 9H con Kit de Instalación Fácil",smartphone,Available,239.0,239.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61Jl4vMRCmL._AC_UL320_.jpg,1448.0,4.7
Ringke Fusion Compatible con Funda Samsung Galaxy S23 5G (2023) Carcasa Transparente PC Trasera Dura con Parachoques de TPU Flexible Case - Clear,smartphone,Available,284.99,284.99,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71VBXEMjZnL._AC_UL320_.jpg,792.0,4.4
"USTIYA Funda para Samsung Galaxy S23 Transparente Case Uso Rudo Acrílico+TPU Rigido Case,Protectora de cámara, Traslúcido Matte Back Antihuellas Cover",case,Available,168.0,199.0,31.0,15.58,Yes,False,False,https://m.media-amazon.com/images/I/71VteNUoF5L._AC_UL320_.jpg,23.0,4.7
"Eynshoo Cargador Tipo C, Cargador 45W Carga Rápida, para Galaxy S24 Ultra/S24+/S24/S23 Ultra/S23+/S23/S22+/S22/S21+/Note 10+/Note 20/S20, Galaxy Tab S10/S9/S8, con un Cable de 1,8mtr",tablet,Available,183.91,249.0,65.09,26.14,Yes,False,False,https://m.media-amazon.com/images/I/51tZmKyzHKL._AC_UL320_.jpg,218.0,4.5
