name,product_type,availability,price,original_price,discount_amount,discount_percentage,has_discount,buen_fin_discount,black_friday_discount,image,reviews_count,rating,search_type,date
"SAMSUNG Galaxy A06 Negro 4GB RAM 64GB, Nacional con Garantía",smartphone,Available,2167.0,2599.0,432.0,16.62,Yes,False,False,https://m.media-amazon.com/images/I/61Kpp0oa8kL._AC_UL320_.jpg,0.0,,Samsung,2024-12-01
"Samsung Celular Galaxy M15 5G Azul obscuro 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,2999.0,3999.0,1000.0,25.01,Yes,False,False,https://m.media-amazon.com/images/I/61dJ9GYg9FL._AC_UL320_.jpg,263.0,4.6,Samsung,2024-12-01
SAMSUNG Galaxy A35 8GB 256GB 5G Negro,smartphone,Available,5409.0,5409.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61ljRHkT8DL._AC_UL320_.jpg,31.0,4.3,Samsung,2024-12-01
"SAMSUNG Galaxy S24 FE 5G Grafito 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,11999.0,15499.0,3500.0,22.58,Yes,False,False,https://m.media-amazon.com/images/I/51+38FqDMGL._AC_UL320_.jpg,2.0,5.0,Samsung,2024-12-01
SAMSUNG Smartphone A05 4+128GB LTE Negro Dual SIM,smartphone,Available,1969.0,2999.0,1030.0,34.34,Yes,False,False,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UL320_.jpg,152.0,4.3,Samsung,2024-12-01
Samsung Galaxy A05S 4GB 128GB Violeta,smartphone,Available,2649.0,2799.0,150.0,5.36,Yes,False,False,https://m.media-amazon.com/images/I/61+CTd3mcvL._AC_UL320_.jpg,12.0,4.1,Samsung,2024-12-01
"Samsung Celular Galaxy A35 5G Violeta 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,6299.0,6299.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61YAjWqc0DL._AC_UL320_.jpg,64.0,4.6,Samsung,2024-12-01
"Samsung Smart TV 50"" 4K Crystal UHD (UN50DU8000FXZX)",tv,Available,7995.0,14284.0,6289.0,44.03,Yes,False,False,https://m.media-amazon.com/images/I/61QkKCod-DL._AC_UL320_.jpg,15.0,5.0,Samsung,2024-12-01
Samsung Galaxy A55 5G Color Violeta Claro RAM 8GB_128GB l Internacional,smartphone,Available,6899.0,6899.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51i4ME0cxeL._AC_UL320_.jpg,38.0,4.1,Samsung,2024-12-01
"SAMSUNG Celular Galaxy A25 5G 8GB 256GB 6.5"" FHD+ 120 Hz 50 MP Blue Black",smartphone,Available,4199.0,4199.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61RVVxjv26L._AC_UL320_.jpg,54.0,4.4,Samsung,2024-12-01
"Samsung Celular Galaxy M55 5G Verde 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,7586.41,7999.0,412.59,5.16,Yes,False,False,https://m.media-amazon.com/images/I/61NGj+turzL._AC_UL320_.jpg,76.0,4.4,Samsung,2024-12-01
"SAMSUNG Celular Galaxy M35 5G Azul Claro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,5499.0,5499.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61n3Td68iIL._AC_UL320_.jpg,69.0,4.7,Samsung,2024-12-01
"Samsung Celular Galaxy A55 5G Azul Claro 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,6829.0,7999.0,1170.0,14.63,Yes,False,False,https://m.media-amazon.com/images/I/61IW8xm4wXL._AC_UL320_.jpg,64.0,4.7,Samsung,2024-12-01
"SAMSUNG Galaxy Buds 3 Pro AI True Auriculares inalámbricos Bluetooth, con cancelación de ruido, optimización de sonido, intérprete en tiempo real, versión latinoamericana rediseñada (plateado)",another,Available,3798.98,3798.98,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51-NgUb5oWL._AC_UL320_.jpg,80.0,4.3,Samsung,2024-12-01
SAMSUNG Galaxy A55 8GB 128GB 5G Violeta,smartphone,Available,6879.0,6879.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/611aVBz8yOL._AC_UL320_.jpg,5.0,3.7,Samsung,2024-12-01
"SAMSUNG Celular Galaxy A25 5G Negro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,4797.0,5899.0,1102.0,18.68,Yes,False,False,https://m.media-amazon.com/images/I/51gM-p2VCjL._AC_UL320_.jpg,24.0,4.3,Samsung,2024-12-01
"SAMSUNG Celular Galaxy S23 FE Menta 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,10199.0,12999.0,2800.0,21.54,Yes,False,False,https://m.media-amazon.com/images/I/41dLpiNFUfL._AC_UL320_.jpg,81.0,4.4,Samsung,2024-12-01
"SAMUNG Pantalla Led 75"" Procesador Crystal 4K, SmartThings Mod.UN75CU7000DXZA RENOVADO (75"")",another,Available,15500.0,15500.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61TMAyFBSmL._AC_UL320_.jpg,3.0,3.5,Samsung,2024-12-01
"SAMSUNG Audifonos inalámbricos Galaxy Buds3 Grafito, AI, Nacional con Garantía",watch,Available,2499.0,2499.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51+2Ehf-RrL._AC_UL320_.jpg,116.0,4.3,Samsung,2024-12-01
"Samsung Galaxy S22 Ultra, 5G, desbloqueado de fábrica 128GB, SM-S908U1 (reacondicionado) (borgoña)",smartphone,Available,9007.03,9007.03,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61bteKquOYL._AC_UL320_.jpg,363.0,3.7,Samsung,2024-12-01
GOLDTOLUCK Compatible with Samsung Galaxy Watch Correa Band Ultra 47mm Hombres Mujeres Acero Inoxidable Elegante Casual Hombres Metal Negocios,watch,Available,399.0,399.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71keZV9eUXL._AC_UL320_.jpg,1098.0,4.3,Samsung,2024-12-01
"Wanme Funda para Samsung Galaxy A13 4G,Funda de Liquida Silicona con Forro de Microfibra Suave para Samsung Galaxy A13 4G, Hierba Morada",case,Available,127.2,159.0,31.8,20.0,Yes,False,True,https://m.media-amazon.com/images/I/71nFaVMbkQL._AC_UL320_.jpg,2.0,5.0,Samsung,2024-12-01
"truefree Oído Abierto Audífonos Bluetooth 5.3, Audífonos Inalámbricos Deportivos,Cancelación de Ruido ENC, Sonido Estéreo 3D por Controlador de 16,2 mm, 45 Horas de reproducción,4 mics.(Blanco)",another,Available,799.0,1299.99,500.99,38.54,Yes,False,True,https://m.media-amazon.com/images/I/516gXzENw1L._AC_UL320_.jpg,1598.0,4.3,Samsung,2024-12-01
i-Blason Funda para Samsung Galaxy Z Fold 6 Resistente Case con Soporte para S Pen [Armorbox] 360 Grados Carcasa Protectora con Protector de Pantalla de Vidrio para Galaxy Z Fold 6 (Negro),case,Available,699.0,699.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61Xqr55WIZL._AC_UL320_.jpg,171.0,4.2,Samsung,2024-12-01
SAMSUNG Galaxy A55 8GB 256GB 5G Negro,smartphone,Available,6999.0,6999.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/614AjVGG4FL._AC_UL320_.jpg,11.0,4.6,Samsung,2024-12-01
"SAMSUNG Celular Galaxy A05 Negro 4GB RAM 64GB, Nacional con Garantía",smartphone,Available,2180.0,2180.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/619HtuvFgSL._AC_UL320_.jpg,133.0,4.4,Samsung,2024-12-01
SAMSUNG Celular Galaxy S23 128GB Rosa Claro,smartphone,Available,15999.0,15999.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61gpxn8wtoL._AC_UL320_.jpg,83.0,4.7,Samsung,2024-12-01
"SAMSUNG Galaxy Tab S9 FE+ - Tablet Android, 12.4 Pulgadas, 256 GB, 8MP, IP68, batería de Larga duración, procesador Potente, S Pen, cámara de 8 MP, para E.E.U.U., Color Lavanda",tablet,Available,12539.05,16459.0,3919.95,23.82,Yes,False,True,https://m.media-amazon.com/images/I/513outQrR4L._AC_UL320_.jpg,1992.0,4.6,Samsung,2024-12-01
SAMSUNG Galaxy A06 4GB 128GB Azul,smartphone,Available,2389.0,2389.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/41ufMoRD0oL._AC_UL320_.jpg,0.0,,Samsung,2024-12-01
"SAMSUNG Galaxy S21 FE 5G, versión de EE. UU., 128 GB, azul marino, desbloqueado (reacondicionado)",smartphone,Available,4969.85,5847.51,877.66,15.01,Yes,False,True,https://m.media-amazon.com/images/I/91gKJze6DQL._AC_UL320_.jpg,91.0,4.3,Samsung,2024-12-01
"SAMSUNG Galaxy S24, Negro Onyx, 8GB_256GB",smartphone,Available,14999.0,20999.0,6000.0,28.57,Yes,False,False,https://m.media-amazon.com/images/I/31V5EzaTsVL._AC_UL320_.jpg,37.0,4.3,Samsung,2024-12-01
"SAMSUNG Galaxy Z Flip 4 SM-F721U1 - Desbloqueado de fábrica (128 GB, color morado bora)",smartphone,Available,7167.0,7167.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51cMSayAObL._AC_UL320_.jpg,407.0,4.3,Samsung,2024-12-01
Samsung Galaxy Fit3 Grafito,watch,Available,699.0,999.0,300.0,30.03,Yes,False,False,https://m.media-amazon.com/images/I/41XIk2CbxYL._AC_UL320_.jpg,599.0,4.6,Samsung,2024-12-01
SAMSUNG Televisión Pantalla 50 Pulgadas Smart TV Crystal 4K UHD UN-50DU7010,tv,Available,7189.0,8579.0,1390.0,16.2,Yes,False,False,https://m.media-amazon.com/images/I/81BYULoEBRL._AC_UL320_.jpg,1.0,5.0,Samsung,2024-12-01
"SAMSUNG Galaxy Tab A9+ Plata 8GB RAM 128GB, Nacional con Garantía",tablet,Available,4199.0,4499.0,300.0,6.67,Yes,False,False,https://m.media-amazon.com/images/I/51hk7s97ZNL._AC_UL320_.jpg,236.0,4.6,Samsung,2024-12-01
Samsung Galaxy Tab A9 4GB_64GB Color Gris,tablet,Available,2329.0,2699.0,370.0,13.71,Yes,False,False,https://m.media-amazon.com/images/I/5169txVgFWL._AC_UL320_.jpg,633.0,4.6,Samsung,2024-12-01
