name,product_type,availability,price,original_price,discount_amount,discount_percentage,has_discount,buen_fin_discount,black_friday_discount,image,reviews_count,rating,search_type,date
"Samsung Celular Galaxy M15 5G Azul Claro 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,2475.23,3999.0,1523.77,38.1,Yes,False,False,https://m.media-amazon.com/images/I/61dqezq8ZVL._AC_UL320_.jpg,316.0,4.6,Samsung,2024-12-11
SAMSUNG Smartphone A05 4+128GB LTE Negro Dual SIM,smartphone,Available,1969.0,2999.0,1030.0,34.34,Yes,False,False,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UL320_.jpg,159.0,4.3,Samsung,2024-12-11
"SAMSUNG Galaxy A06 Negro 4GB RAM 64GB, Nacional con Garantía",smartphone,Available,1829.0,2599.0,770.0,29.63,Yes,False,False,https://m.media-amazon.com/images/I/61Kpp0oa8kL._AC_UL320_.jpg,3.0,4.2,Samsung,2024-12-11
"Samsung Celular Galaxy M55 5G Verde 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,4997.07,7999.0,3001.93,37.53,Yes,False,False,https://m.media-amazon.com/images/I/61NGj+turzL._AC_UL320_.jpg,77.0,4.4,Samsung,2024-12-11
"SAMSUNG Celular Galaxy M35 5G Azul Claro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,4199.0,5499.0,1300.0,23.64,Yes,False,False,https://m.media-amazon.com/images/I/61n3Td68iIL._AC_UL320_.jpg,73.0,4.7,Samsung,2024-12-11
"Samsung Celular Galaxy A35 5G Violeta 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,4799.0,6299.0,1500.0,23.81,Yes,False,False,https://m.media-amazon.com/images/I/61YAjWqc0DL._AC_UL320_.jpg,70.0,4.6,Samsung,2024-12-11
"SAMSUNG Celular Galaxy A25 5G 8GB 256GB 6.5"" FHD+ 120 Hz 50 MP Blue Black",smartphone,Available,4199.0,4199.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61RVVxjv26L._AC_UL320_.jpg,56.0,4.4,Samsung,2024-12-11
"Samsung Celular Galaxy A55 5G Azul Claro 8GB RAM 256GB, Nacional con Garantía",smartphone,Available,7499.0,8999.0,1500.0,16.67,Yes,False,False,https://m.media-amazon.com/images/I/61IW8xm4wXL._AC_UL320_.jpg,117.0,4.4,Samsung,2024-12-11
"SAMSUNG Galaxy S24 FE 5G Grafito 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,11829.09,15499.0,3669.91,23.68,Yes,False,False,https://m.media-amazon.com/images/I/51+38FqDMGL._AC_UL320_.jpg,7.0,5.0,Samsung,2024-12-11
SAMSUNG Galaxy A35 8GB 256GB 5G Negro,smartphone,Available,5407.0,5407.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61ljRHkT8DL._AC_UL320_.jpg,26.0,4.2,Samsung,2024-12-11
"SAMSUNG Audifonos inalámbricos Galaxy Buds3 Blanco, AI, Nacional con Garantía",another,Available,1799.0,2499.0,700.0,28.01,Yes,False,False,https://m.media-amazon.com/images/I/51wYLUl3sbL._AC_UL320_.jpg,58.0,4.6,Samsung,2024-12-11
Samsung Galaxy A05S 4GB 128GB Violeta,smartphone,Available,2999.0,2999.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61+CTd3mcvL._AC_UL320_.jpg,12.0,4.1,Samsung,2024-12-11
"SAMSUNG Galaxy S24 Ultra, Violeta, 12GB_256GB",smartphone,Available,20699.0,30999.0,10300.0,33.23,Yes,False,False,https://m.media-amazon.com/images/I/41R6PyAOtDL._AC_UL320_.jpg,142.0,4.6,Samsung,2024-12-11
Samsung Galaxy Tab A9 4GB_64GB Color Gris,tablet,Available,2499.0,2699.0,200.0,7.41,Yes,False,False,https://m.media-amazon.com/images/I/5169txVgFWL._AC_UL320_.jpg,657.0,4.6,Samsung,2024-12-11
"Samsung Smart TV 50"" 4K Crystal UHD (UN50DU8000FXZX)",tv,Available,7895.0,14284.0,6389.0,44.73,Yes,False,False,https://m.media-amazon.com/images/I/61QkKCod-DL._AC_UL320_.jpg,16.0,5.0,Samsung,2024-12-11
Samsung Galaxy A55 5G Color Violeta Claro RAM 8GB_128GB l Internacional,smartphone,Available,6837.75,6837.75,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51i4ME0cxeL._AC_UL320_.jpg,43.0,4.1,Samsung,2024-12-11
SAMSUNG Celular Galaxy S23 128GB Rosa Claro,smartphone,Available,10999.0,15999.0,5000.0,31.25,Yes,False,False,https://m.media-amazon.com/images/I/61gpxn8wtoL._AC_UL320_.jpg,86.0,4.7,Samsung,2024-12-11
Samsung Galaxy A15 (A155) Dual LTE 128GB 6GB RAM Negro,smartphone,Available,3399.0,3399.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/41AmmeD4ypL._AC_UL320_.jpg,20.0,4.5,Samsung,2024-12-11
Samsung Smartphone Galaxy A15 4G 6GB 128GB Negro Desbloqueado,smartphone,Available,3799.0,3799.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/51jYEf9XY2L._AC_UL320_.jpg,0.0,,Samsung,2024-12-11
"SAMSUNG - Galaxy S21 Ultra G998U 5G, smartphone Android totalmente desbloqueado, versión de EE.UU., cámara de grado profesional, video 8K, 108 MP, 128 GB - Negro fantasma (reacondicionado)",smartphone,Available,6947.84,6947.84,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61dlAm9BpqL._AC_UL320_.jpg,2493.0,3.9,Samsung,2024-12-11
QEXWSZS MLT-K706S Cartucho de Tóner Compatible para Samsung Reemplazos MLT-K706S Compatible para Samsung K7400LX K7500LX K7600LX,another,Available,2901.0,2901.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71FFCl0ncSL._AC_UL320_.jpg,0.0,,Samsung,2024-12-11
QEXWSZS MLT-D704S Cartucho de Tóner Compatible para Samsung Reemplazos MLT-D704S Compatible para Samsung K3250NR K3300NR,another,Available,1681.0,1681.0,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/715wGgLWr3L._AC_UL320_.jpg,0.0,,Samsung,2024-12-11
