name,product_type,availability,price,original_price,discount_amount,discount_percentage,black_friday_discount,image,reviews_count,rating
"Samsung Celular Galaxy M15 5G Azul Claro 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$2,475.23","$3,999.00","$1,523.77",38.10%,No,https://m.media-amazon.com/images/I/61dqezq8ZVL._AC_UL320_.jpg,317,4.6 de 5 estrellas
"Samsung Celular Galaxy M55 5G Verde 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$4,997.07","$7,999.00","$3,001.93",37.53%,No,https://m.media-amazon.com/images/I/61NGj+turzL._AC_UL320_.jpg,77,4.4 de 5 estrellas
SAMSUNG Smartphone A05 4+128GB LTE Negro Dual SIM,smartphone,Available,"$1,969.00","$2,999.00","$1,030.00",34.34%,No,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UL320_.jpg,160,4.3 de 5 estrellas
"SAMSUNG Celular Galaxy M35 5G Azul Claro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$4,199.00","$5,499.00","$1,300.00",23.64%,No,https://m.media-amazon.com/images/I/61n3Td68iIL._AC_UL320_.jpg,73,4.7 de 5 estrellas
"Samsung Celular Galaxy A55 5G Negro 8GB RAM 256GB, Nacional con Garantía",smartphone,Available,"$7,499.00","$8,999.00","$1,500.00",16.67%,No,https://m.media-amazon.com/images/I/61COp0E7UxL._AC_UL320_.jpg,86,4.5 de 5 estrellas
SAMSUNG Galaxy A35 8GB 256GB 5G Negro,smartphone,Available,"$5,407.00","$5,407.00","$1,500.00",16.67%,No,https://m.media-amazon.com/images/I/61ljRHkT8DL._AC_UL320_.jpg,25,4.3 de 5 estrellas
"SAMSUNG Galaxy A06 Negro 4GB RAM 64GB, Nacional con Garantía",smartphone,Available,"$1,829.00","$2,599.00",$770.00,29.63%,No,https://m.media-amazon.com/images/I/61Kpp0oa8kL._AC_UL320_.jpg,3,4.2 de 5 estrellas
"SAMSUNG Galaxy S24 FE 5G Grafito 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,"$11,829.09","$15,499.00","$3,669.91",23.68%,No,https://m.media-amazon.com/images/I/51+38FqDMGL._AC_UL320_.jpg,9,5.0 de 5 estrellas
"SAMSUNG Celular Galaxy A25 5G 8GB 256GB 6.5"" FHD+ 120 Hz 50 MP Blue Black",smartphone,Available,"$4,199.00","$4,199.00","$3,669.91",23.68%,No,https://m.media-amazon.com/images/I/61RVVxjv26L._AC_UL320_.jpg,56,4.4 de 5 estrellas
"Samsung Celular Galaxy A35 5G Azul Claro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$5,499.00","$6,299.00",$800.00,12.70%,No,https://m.media-amazon.com/images/I/61DJLqLXDQL._AC_UL320_.jpg,54,4.5 de 5 estrellas
