name,product_type,availability,price,original_price,discount_amount,discount_percentage,black_friday_discount,image,reviews_count,rating
SAMSUNG Celular Galaxy S23 128GB Rosa Claro,smartphone,Available,"$10,999.00","$15,999.00","$5,000.00",31.25%,No,https://m.media-amazon.com/images/I/61gpxn8wtoL._AC_UL320_.jpg,86,4.7 de 5 estrellas
SAMSUNG Galaxy S23 Fe Dual 256 GB 8 Ram Graphite,smartphone,Available,"$9,799.00","$9,799.00","$5,000.00",31.25%,No,https://m.media-amazon.com/images/I/61Oe73AkimL._AC_UL320_.jpg,15,3.9 de 5 estrellas
"SAMSUNG Celular Galaxy S23 FE Menta 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,"$9,998.00","$12,999.00","$3,001.00",23.09%,No,https://m.media-amazon.com/images/I/41dLpiNFUfL._AC_UL320_.jpg,85,4.4 de 5 estrellas
"SAMSUNG Galaxy S24 +, Gris Marmol, 12GB_512GB",smartphone,Available,"$14,999.00","$23,999.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/31BH6QLbk9L._AC_UL320_.jpg,39,4.0 de 5 estrellas
"Samsung Galaxy S23 5G (128 GB, 8 GB) 6.1"" AMOLED 2X, cámara 50MP, Global Volte, desbloqueado para todas las compañías, Negro Phantom (Reacondicionado)",smartphone,Available,"$9,799.00","$9,799.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/51rn1JNGsvL._AC_UL320_.jpg,152,4.1 de 5 estrellas
Samsung Galaxy S23 8GB_256GB Lavanda Desbloqueado (Reacondicionado),smartphone,Available,"$10,499.00","$10,499.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/619Zn+R0WbL._AC_UL320_.jpg,320,4.1 de 5 estrellas
"Samsung Galaxy S23 FE desbloqueado de fábrica 128 GB, menta (reacondicionado)",smartphone,Available,"$9,657.42","$9,657.42","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/61bU0BVICjL._AC_UL320_.jpg,22,4.1 de 5 estrellas
SAMSUNG Galaxy S23 Plus 8gb RAM 256gb ROM Crema 5G | Desbloqueado | 6.6” AMOLED | Dual Sim Cámara Trasera 50 MP + 10 MP + 12 MP Cámara Frontal 12 MP (Reacondicionado),smartphone,Available,"$11,799.00","$11,799.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/61rFuAc4fkL._AC_UL320_.jpg,5,5.0 de 5 estrellas
"Samsung Galaxy S23 5G S9110 Dual 128GB 8GB RAM, cámara de 50 MP, Color Crema, Desbloqueado de fábrica, versión Internacional",smartphone,Out of Stock,N/A,0,"$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/51Pc+1ivsCL._AC_UL320_.jpg,78,4.7 de 5 estrellas
"SAMSUNG Galaxy S23+ 5G S9160 Dual 256GB 8GB RAM, Cámara de 50 MP, Desbloqueado de fábrica - Crema (Reacondicionado)",smartphone,Available,"$11,490.00","$11,490.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/51Pc+1ivsCL._AC_UL320_.jpg,No Reviews,No Rating
"SAMSUNG Galaxy S22 Ultra 5G Desbloqueado, 128GB, Negro (Reacondicionado)",smartphone,Available,"$9,405.52","$11,273.13","$1,867.61",16.57%,No,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_UL320_.jpg,"1,258",3.7 de 5 estrellas
SAMSUNG Galaxy S23 FE 128GB Grafito (Reacondicionado),smartphone,Available,"$9,087.00","$9,087.00","$1,867.61",16.57%,No,https://m.media-amazon.com/images/I/71iQPXoiWYL._AC_UL320_.jpg,127,4.3 de 5 estrellas
SAMSUNG Galaxy S23 Plus 8gb RAM 256gb ROM Lavanda 5G | Desbloqueado | 6.6” AMOLED | Huella Digital | Dual Sim Cámara Trasera 50 MP + 10 MP + 12 MP Cámara Frontal 12 MP (Reacondicionado),smartphone,Available,"$12,499.00","$12,499.00","$1,867.61",16.57%,No,https://m.media-amazon.com/images/I/61BOF86+PRL._AC_UL320_.jpg,Más opciones de compra,No Rating
"RUBOQE Cargador para Samsung 45W Tipo C, Cargador Carga Rapida con 1M Cable, Cargador rápido USB C para Samsung Galaxy S23 Ultra/S23/S23+/S22/S22 Ultra/S22+/Note10/Note 20/S20/S21/S10",smartphone,Available,$258.99,$399.00,$140.01,35.09%,No,https://m.media-amazon.com/images/I/51DZ6gjE9IL._AC_UL320_.jpg,360,4.6 de 5 estrellas
"SwanScout Estación de Carga para Samsung S24/Watch Ultra, Cargador Inalámbrico 3 en 1 para Galaxy S24 Ultra/S23/S22/Note 20/Z Flip/Z Fold, Galaxy Watch 7/6/5/4/FE, Galaxy Buds (Sin Adaptador)",smartphone,Available,$645.99,$999.00,$353.01,35.34%,No,https://m.media-amazon.com/images/I/715-3UPioSL._AC_UL320_.jpg,"1,139",4.3 de 5 estrellas
"Cargador Inalámbrico 3 en 1 para Samsung/iPhone, Cargador para Samsung S24/S23 Ultra/S22 Ultra/S23/S23+/Z Fold 4/Flip 4/S22, Cargador para Galaxy Watch 6/5/5 Pro/4, Estación de Carga Buds (Negro)",smartphone,Available,$719.99,$719.99,$353.01,35.34%,No,https://m.media-amazon.com/images/I/61APoCSL6FL._AC_UL320_.jpg,101,4.2 de 5 estrellas
"SAMSUNG Galaxy S23+ 5G S9160 Dual 256GB 8GB RAM, cámara de 50 MP, Desbloqueado de fábrica - Phantom Black (Reacondicionado)",smartphone,Available,"$11,799.00","$11,799.00",$353.01,35.34%,No,https://m.media-amazon.com/images/I/518c3bmlouL._AC_UL320_.jpg,4,4.7 de 5 estrellas
"Cargador inalámbrico para Samsung, estación de Carga inalámbrica 3 en 1 para Samsung Galaxy S24 Ultra/S23/S22/Z Flip 6/Z Fold 6, Cargador para Samsung Galaxy Watch 5/4/3, Galaxy Buds 2/Pro/+",smartphone,Available,$759.99,$759.99,$353.01,35.34%,No,https://m.media-amazon.com/images/I/61VSKA16Y9L._AC_UL320_.jpg,"5,612",4.4 de 5 estrellas
Samsung Galaxy Tab A9 4GB_64GB Color Gris,tablet,Available,"$2,499.00","$2,699.00",$200.00,7.41%,No,https://m.media-amazon.com/images/I/5169txVgFWL._AC_UL320_.jpg,657,4.6 de 5 estrellas
