name,product_type,availability,price,original_price,discount_amount,discount_percentage,black_friday_discount,image,reviews_count,rating
"SAMSUNG Galaxy S24 FE 5G Menta 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,"$11,999.00","$15,499.00","$3,500.00",22.58%,No,https://m.media-amazon.com/images/I/511NKNAepvL._AC_UL320_.jpg,50+ comprados el mes pasado,No Rating
"SAMSUNG Galaxy S24 +, Gris Marmol, 12GB_512GB",smartphone,Available,"$14,999.00","$23,999.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/31BH6QLbk9L._AC_UL320_.jpg,40,4.1 de 5 estrellas
SAMSUNG Celular Galaxy S23 128GB Rosa Claro,smartphone,Available,"$10,959.00","$15,999.00","$5,040.00",31.50%,No,https://m.media-amazon.com/images/I/61gpxn8wtoL._AC_UL320_.jpg,86,4.7 de 5 estrellas
SAMSUNG Galaxy S23 Fe Dual 256 GB 8 Ram Graphite,smartphone,Available,"$9,799.00","$9,799.00","$5,040.00",31.50%,No,https://m.media-amazon.com/images/I/61Oe73AkimL._AC_UL320_.jpg,15,3.9 de 5 estrellas
Samsung Galaxy S23 8GB_256GB Lavanda Desbloqueado (Reacondicionado),smartphone,Available,"$10,499.00","$10,499.00","$5,040.00",31.50%,No,https://m.media-amazon.com/images/I/619Zn+R0WbL._AC_UL320_.jpg,320,4.1 de 5 estrellas
"SAMSUNG Galaxy S24 +, Gris Marmol, 12GB_512GB",smartphone,Available,"$14,999.00","$23,999.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/31BH6QLbk9L._AC_UL320_.jpg,40,4.1 de 5 estrellas
"Samsung Galaxy S23 5G (128 GB, 8 GB) 6.1"" AMOLED 2X, cámara 50MP, Global Volte, desbloqueado para todas las compañías, Negro Phantom (Reacondicionado)",smartphone,Available,"$9,799.00","$9,799.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/51rn1JNGsvL._AC_UL320_.jpg,152,4.1 de 5 estrellas
"SAMSUNG Galaxy S24 FE 5G Grafito 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,"$11,829.09","$15,499.00","$3,669.91",23.68%,No,https://m.media-amazon.com/images/I/51+38FqDMGL._AC_UL320_.jpg,9,5.0 de 5 estrellas
"Samsung Galaxy S23 5G S9110 Dual 128GB 8GB RAM, cámara de 50 MP, Color Crema, Desbloqueado de fábrica, versión Internacional",smartphone,Out of Stock,N/A,0,"$3,669.91",23.68%,No,https://m.media-amazon.com/images/I/51Pc+1ivsCL._AC_UL320_.jpg,78,4.7 de 5 estrellas
"Samsung Galaxy S23 FE desbloqueado de fábrica 128 GB, menta (reacondicionado)",smartphone,Available,"$9,657.42","$9,657.42","$3,669.91",23.68%,No,https://m.media-amazon.com/images/I/61bU0BVICjL._AC_UL320_.jpg,22,4.1 de 5 estrellas
SAMSUNG Galaxy S23 Plus 8gb RAM 256gb ROM Crema 5G | Desbloqueado | 6.6” AMOLED | Dual Sim Cámara Trasera 50 MP + 10 MP + 12 MP Cámara Frontal 12 MP (Reacondicionado),smartphone,Available,"$11,799.00","$11,799.00","$3,669.91",23.68%,No,https://m.media-amazon.com/images/I/61rFuAc4fkL._AC_UL320_.jpg,5,5.0 de 5 estrellas
"JETech 5 en 1 Funda Mate para Samsung Galaxy S23 6.1 Pulgadas con 2 Protector Pantalla y 2 Protector Lente Cámara, Carcasa Trasera Protectora Translúcida, Mica Cristal Vidrio Templado (Lila)",case,Available,$309.00,$309.00,"$3,669.91",23.68%,No,https://m.media-amazon.com/images/I/61u0Mc+qTdL._AC_UL320_.jpg,"3,522",4.5 de 5 estrellas
"SAMSUNG Galaxy S22 Ultra 5G Desbloqueado, 128GB, Negro (Reacondicionado)",smartphone,Available,"$10,416.68","$11,271.02",$854.34,7.58%,No,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_UL320_.jpg,"1,259",3.7 de 5 estrellas
SAMSUNG Galaxy S23 Ultra 5G Desbloqueado de fábrica 512GB - Ultra Lime (reacondicionado),smartphone,Out of Stock,N/A,0,$854.34,7.58%,No,https://m.media-amazon.com/images/I/41lj9KPfHXL._AC_UL320_.jpg,102,4.4 de 5 estrellas
SAMSUNG Galaxy S23 FE 128GB Grafito (Reacondicionado),smartphone,Available,"$9,087.00","$9,087.00",$854.34,7.58%,No,https://m.media-amazon.com/images/I/71iQPXoiWYL._AC_UL320_.jpg,127,4.3 de 5 estrellas
"Samsung Celular Galaxy S23 FE Menta 8GB RAM 256GB, AI, Internacional sin Garantia",smartphone,Out of Stock,N/A,0,$854.34,7.58%,No,https://m.media-amazon.com/images/I/61ioq65ekyL._AC_UL320_.jpg,53,4.3 de 5 estrellas
"SwanScout Estación de Carga para Samsung S24/Watch Ultra, Cargador Inalámbrico 3 en 1 para Galaxy S24 Ultra/S23/S22/Note 20/Z Flip/Z Fold, Galaxy Watch 7/6/5/4/FE, Galaxy Buds (Sin Adaptador)",smartphone,Available,$645.99,$999.00,$353.01,35.34%,No,https://m.media-amazon.com/images/I/715-3UPioSL._AC_UL320_.jpg,"1,141",4.3 de 5 estrellas
SAMSUNG Galaxy S23 Plus 8gb RAM 256gb ROM Lavanda 5G | Desbloqueado | 6.6” AMOLED | Huella Digital | Dual Sim Cámara Trasera 50 MP + 10 MP + 12 MP Cámara Frontal 12 MP (Reacondicionado),smartphone,Available,"$12,499.00","$12,499.00",$353.01,35.34%,No,https://m.media-amazon.com/images/I/61BOF86+PRL._AC_UL320_.jpg,Más opciones de compra,No Rating
SAMSUNG- Galaxy S23 Ultra 5G Desbloqueado de fábrica de 256 GB - Verde (renovado),smartphone,Available,"$16,880.18","$16,880.18",$353.01,35.34%,No,https://m.media-amazon.com/images/I/51mXHdm9jHL._AC_UL320_.jpg,143,3.9 de 5 estrellas
"Samsung Celular Galaxy M15 5G Azul Claro 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$2,475.23","$3,999.00","$1,523.77",38.10%,No,https://m.media-amazon.com/images/I/61dqezq8ZVL._AC_UL320_.jpg,317,4.6 de 5 estrellas
"SAMSUNG Celular Galaxy Z Fold 6 Silver Shadow 12GB RAM 512GB, AI, Nacional con Garantía",smartphone,Available,"$32,999.00","$45,999.00","$13,000.00",28.26%,No,https://m.media-amazon.com/images/I/51yxZN6N5vL._AC_UL320_.jpg,1,5.0 de 5 estrellas
"SAMSUNG Celular Galaxy M35 5G Azul obscuro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$4,199.00","$5,499.00","$1,300.00",23.64%,No,https://m.media-amazon.com/images/I/613aL6vxQGL._AC_UL320_.jpg,71,4.5 de 5 estrellas
"Samsung Celular Galaxy A55 5G Violeta 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$5,932.94","$7,999.00","$2,066.06",25.83%,No,https://m.media-amazon.com/images/I/61r0a2fq+HL._AC_UL320_.jpg,99,4.6 de 5 estrellas
"RUBOQE Cargador para Samsung 45W Tipo C, Cargador Carga Rapida con 1M Cable, Cargador rápido USB C para Samsung Galaxy S23 Ultra/S23/S23+/S22/S22 Ultra/S22+/Note10/Note 20/S20/S21/S10",smartphone,Available,$258.99,$399.00,$140.01,35.09%,No,https://m.media-amazon.com/images/I/51DZ6gjE9IL._AC_UL320_.jpg,361,4.6 de 5 estrellas
