name,product_type,availability,price,original_price,discount_amount,discount_percentage,black_friday_discount,image,reviews_count,rating
Samsung Galaxy Tab A9 4GB_64GB Color Gris,tablet,Available,"$2,499.00","$2,699.00",$200.00,7.41%,No,https://m.media-amazon.com/images/I/5169txVgFWL._AC_UL320_.jpg,657,4.6 de 5 estrellas
"SAMSUNG Tablet Galaxy Tab A9 8.7"" 8GB 128GB Octa Core MEDIATEK Helio G99 Android 13 Gris SM-X110NZAEL06 Garantia con Fabricante",tablet,Available,"$3,489.00","$3,489.00",$200.00,7.41%,No,https://m.media-amazon.com/images/I/41FPVH0pbUL._AC_UL320_.jpg,16,4.9 de 5 estrellas
"SAMSUNG Galaxy Tab A9+, 8GB RAM, 128GB, Color Gris Grafito",tablet,Available,"$3,980.00","$4,499.00",$519.00,11.54%,No,https://m.media-amazon.com/images/I/5128CkYTp5L._AC_UL320_.jpg,514,4.6 de 5 estrellas
"SAMSUNG Tablet Galaxy Tab A9+ 11"" 4GB 64GB Octa Core Android 13 Plata SM-X210NZSAMXO Garantia con Fabricante",tablet,Available,"$3,099.00","$3,099.00",$519.00,11.54%,No,https://m.media-amazon.com/images/I/31-L9Nu8vjL._AC_UL320_.jpg,1,5.0 de 5 estrellas
"SAMSUNG Galaxy Tab S9 FE Gris 8GB RAM 256GB, Spen, Smart Book Cover, Nacional con Garantía",tablet,Available,"$7,999.00","$8,999.00","$1,000.00",11.11%,No,https://m.media-amazon.com/images/I/416-omnWfEL._AC_UL320_.jpg,"1,011",4.7 de 5 estrellas
"SAMSUNG Galaxy Tab A9+ Plata 8GB RAM 128GB, Nacional con Garantía",tablet,Available,"$4,369.00","$4,369.00","$1,000.00",11.11%,No,https://m.media-amazon.com/images/I/51hk7s97ZNL._AC_UL320_.jpg,242,4.6 de 5 estrellas
"SAMSUNG Galaxy Tab A9+ (SM-X210), 64GB 4GB RAM, solo WiFi, visualización de 11 pulgadas, versión internacional - (grafito)",tablet,Available,"$3,099.00","$3,099.00","$1,000.00",11.11%,No,https://m.media-amazon.com/images/I/51RPJ0gPSXL._AC_UL320_.jpg,19,3.7 de 5 estrellas
Tableta Galaxy-Tab-A9 8.7 INC 8GB 128 GB Silver WiFi Samsung,tablet,Available,"$3,399.00","$3,399.00","$1,000.00",11.11%,No,https://m.media-amazon.com/images/I/51MTx42E4GL._AC_UL320_.jpg,25,4.2 de 5 estrellas
"Lenovo Tab M11 | 11"" WUXGA MediaTek Helio G88 8GB RAM 128GB | 4 Speakers Dolby Atmos, Cámara 8.0MP Frontal 8.0MP | Android 13, Incluye Folio Case Tab Pen Plus",tablet,Available,"$4,027.24","$4,699.00",$671.76,14.30%,No,https://m.media-amazon.com/images/I/71ezLwZc4gL._AC_UL320_.jpg,96,4.5 de 5 estrellas
"Samsung Galaxy Tab S10 Ultra Gris 12GB RAM 256GB, AI, Spen, 1 año con Garantía",tablet,Available,"$17,999.00","$26,999.00","$9,000.00",33.33%,No,https://m.media-amazon.com/images/I/41LEJycnrwL._AC_UL320_.jpg,100+ comprados el mes pasado,No Rating
Samsung Galaxy Tab S6 Lite 2024 Color Rosa RAM 4GB 128GB,tablet,Out of Stock,N/A,0,"$9,000.00",33.33%,No,https://m.media-amazon.com/images/I/31zTjUDn2oL._AC_UL320_.jpg,366,4.5 de 5 estrellas
"Lenovo Tab P12 | 12.7"" 3K | 8GB + 256GB MediaTek Dimensity 7050 | Cámara 13 MP Altavoces JBL | Android 13",tablet,Available,"$8,999.00","$10,999.00","$2,000.00",18.18%,No,https://m.media-amazon.com/images/I/51SF34dhsZL._AC_UL320_.jpg,94,4.8 de 5 estrellas
"HUAWEI MatePad SE 11, 8G+128G, Tablet M-Pencil Incluido, Pantalla FullView de 11”, Superbatería de 7700 mAh, Wi-Fi/Bluetooth, Gris",tablet,Available,"$3,799.00","$5,999.00","$2,200.00",36.67%,No,https://m.media-amazon.com/images/I/617aqo-u5bL._AC_UL320_.jpg,108,4.6 de 5 estrellas
